Unnamed: 0,is_pick,hero_id,team,order,ord,match_id,radiant_win,id,localized_name
4,True,53,0,4,4,5581079759,False,53,Nature's Prophet
16,True,53,1,16,16,5581156713,True,53,Nature's Prophet
16,True,53,0,16,16,5581274533,True,53,Nature's Prophet
2,False,53,0,2,2,5581312093,False,53,Nature's Prophet
7,True,53,0,7,7,5581305939,False,53,Nature's Prophet
11,False,53,1,11,11,5581353818,True,53,Nature's Prophet
2,False,19,0,2,2,5572986931,True,19,Tiny
5,True,19,1,5,5,5571387447,False,19,Tiny
5,True,19,1,5,5,5571936348,False,19,Tiny
6,True,19,0,6,6,5571809426,True,19,Tiny
1,False,19,0,1,1,5572327675,False,19,Tiny
5,True,19,0,5,5,5572184320,False,19,Tiny
4,True,19,0,4,4,5571885311,False,19,Tiny
5,True,19,1,5,5,5571322127,False,19,Tiny
3,False,19,0,3,3,5572198730,True,19,Tiny
2,False,19,0,2,2,5571930444,True,19,Tiny
4,True,19,1,4,4,5571692957,False,19,Tiny
5,True,19,0,5,5,5572483539,False,19,Tiny
6,True,19,1,6,6,5572366825,False,19,Tiny
2,False,19,0,2,2,5571820010,True,19,Tiny
1,False,19,1,1,1,5572260340,False,19,Tiny
15,True,19,1,15,15,5572422158,True,19,Tiny
1,False,19,1,1,1,5571774998,False,19,Tiny
2,False,19,1,2,2,5571242529,False,19,Tiny
0,False,19,1,0,0,5572053568,True,19,Tiny
19,False,19,0,19,19,5572180587,False,19,Tiny
2,False,19,0,2,2,5571697277,True,19,Tiny
3,False,19,0,3,3,5571742384,True,19,Tiny
16,True,19,0,16,16,5572109008,False,19,Tiny
4,True,19,1,4,4,5572295408,True,19,Tiny
2,False,19,0,2,2,5572725582,True,19,Tiny
15,True,19,0,15,15,5571306363,False,19,Tiny
6,True,19,0,6,6,5571496861,True,19,Tiny
0,False,19,0,0,0,5572015022,False,19,Tiny
23,True,19,0,23,23,5572883382,True,19,Tiny
3,False,19,0,3,3,5573020624,True,19,Tiny
0,False,19,1,0,0,5571652599,False,19,Tiny
3,False,19,1,3,3,5572652041,False,19,Tiny
3,False,19,0,3,3,5572582452,False,19,Tiny
5,True,19,0,5,5,5572037758,False,19,Tiny
7,True,19,0,7,7,5572283569,True,19,Tiny
17,True,19,1,17,17,5571831033,True,19,Tiny
7,True,19,1,7,7,5571446064,False,19,Tiny
20,False,19,0,20,20,5572079000,False,19,Tiny
5,True,19,0,5,5,5572478406,False,19,Tiny
6,True,19,0,6,6,5572834824,False,19,Tiny
1,False,19,1,1,1,5571964516,False,19,Tiny
5,True,19,1,5,5,5571251852,False,19,Tiny
20,False,19,1,20,20,5572155101,False,19,Tiny
5,True,19,1,5,5,5571833569,True,19,Tiny
